# ID    Phrase  	Tag1    Tag2    Etc
385	The roof	Noun
386	The event	Noun
387	The home	Noun
388	The bone	Noun
389	The skeleton	Noun
390	The state	Noun
391	The owner	Noun
392	The bucket	Noun
393	The cube (geometric)	Noun
394	The paint	Noun
395	The majority	Noun
396	The actor	Noun
397	The actress	Noun
398	The pilot	Noun
399	The skyscraper	Noun
400	The edge	Noun
401	The beauty	Noun
402	Unknown	Noun
403	The fact	Noun
404	The road	Noun
405	The lane (of a road)	Noun
406	The sidewalk	Noun
407	The warehouse	Noun
408	The bench	Noun
409	The cable	Noun
410	The entrepreneur	Noun
411	The stove	Noun
412	The seat	Noun
413	The chair	Noun
414	The cushion	Noun
415	The pillow	Noun
416	The grass	Noun
417	The lawn	Noun
418	The gloves	Noun
419	The duvet (het dekbed)	Noun
420	The activity	Noun
421	Physics	Noun
422	The sweet potato	Noun
423	The harvest	Noun
424	The double bed	Noun
425	The location	Noun
426	The workshop	Noun
427	The place	Noun
428	The rock	Noun
429	The hiker	Noun
430	The size	Noun
431	The earthquake	Noun
432	The waves	Noun
433	The rise / increase	Noun
434	The drought	Noun
435	The budget	Noun
436	The heritage	Noun
437	The strike (where people don't work)	Noun
438	The season	Noun
439	The ladder (or the stairs)	Noun
440	The cucumber	Noun
441	The palm tree	Noun
442	The speech	Noun
443	The cemetery	Noun
444	The graveyard	Noun
445	The hallway	Noun
446	The lobby	Noun
447	The spiderweb	Noun
448	The cloth	Noun
449	The costume / disguise	Noun
450	The winner	Noun
451	The make-up	Noun
452	The prison	Noun
453	The jungle	Noun
454	The route	Noun
455	The survey	Noun
456	The heating	Noun
457	The backpack	Noun
458	Thyme	Noun
459	The gesture	Noun
460	The human race	Noun
461	"The store (""de zaak"")"	Noun
462	The flavour	Noun
463	The spectacle	Noun
464	The mass (as in weight / entity)	Noun
465	The oven	Noun
466	The advantage / benefit	Noun
467	The elevator	Noun
468	The toilet	Noun
469	The heartbreaker	Noun
470	The satellite	Noun
471	The rocket	Noun
472	The crew member	Noun
473	The objective	Noun
474	The base (e.g. moon base)	Noun
475	The surface	Noun
476	The attitude	Noun
477	The incentive	Noun
478	Fairy tales	Noun
479	Fairy	Noun
480	The waste	Noun
481	The penalty	Noun
482	The profile	Noun
483	The envelope	Noun
484	The employee	Noun
485	The embassy	Noun
486	The ambassador	Noun
487	The challenge	Noun
488	The dilemma	Noun
489	The degree (e.g. 14 degrees)	Noun
490	Appearance (uiterlijk)	Noun
